Serie,Titulo,Valoracion,Temporada,Capitulo,Votos,z-score
The Wire,The Target,8,1,1,5433,-1.15
The Wire,The Detail,8.3,1,2,4434,-0.65
The Wire,The Buys,8.3,1,3,4159,-0.65
The Wire,Old Cases,8.3,1,4,4019,-0.65
The Wire,The Pager,8.4,1,5,3855,-0.48
The Wire,The Wire,8.6,1,6,4029,-0.14
The Wire,One Arrest,8.6,1,7,3769,-0.14
The Wire,Lessons,8.6,1,8,3748,-0.14
The Wire,Game Day,8.8,1,9,3872,0.20
The Wire,The Cost,9.2,1,10,4436,0.88
The Wire,The Hunt,8.9,1,11,3875,0.37
The Wire,Cleaning Up,9.1,1,12,4186,0.71
The Wire,Sentencing,9,1,13,4073,0.54
The Wire,Ebb Tide,7.9,2,1,3588,-1.32
The Wire,Collateral Damage,8.2,2,2,3354,-0.82
The Wire,Hot Shots,8.2,2,3,3246,-0.82
The Wire,Hard Cases,8.2,2,4,3204,-0.82
The Wire,Undertow,8.3,2,5,3134,-0.65
The Wire,All Prologue,8.8,2,6,3548,0.20
The Wire,Backwash,8.4,2,7,3093,-0.48
The Wire,Duck and Cover,8.5,2,8,3153,-0.31
The Wire,Stray Rounds,8.6,2,9,3183,-0.14
The Wire,Storm Warnings,9,2,10,3538,0.54
The Wire,Bad Dreams,9.2,2,11,3933,0.88
The Wire,Port in a Storm,9,2,12,3676,0.54
The Wire,Time After Time,8.2,3,1,3058,-0.82
The Wire,All Due Respect,8.5,3,2,3025,-0.31
The Wire,Dead Soldiers,8.5,3,3,3016,-0.31
The Wire,Amsterdam,8.5,3,4,3001,-0.31
The Wire,Straight and True,8.7,3,5,2997,0.03
The Wire,Homecoming,8.7,3,6,2978,0.03
The Wire,Back Burners,8.6,3,7,2925,-0.14
The Wire,Moral Midgetry,8.9,3,8,3181,0.37
The Wire,Slapstick,8.8,3,9,2994,0.20
The Wire,Reformation,8.8,3,10,3007,0.20
The Wire,Middle Ground,9.6,3,11,4793,1.56
The Wire,Mission Accomplished,9.3,3,12,3744,1.05
The Wire,Boys of Summer,8.4,4,1,2959,-0.48
The Wire,Soft Eyes,8.6,4,2,2810,-0.14
The Wire,Home Rooms,8.7,4,3,2849,0.03
The Wire,Refugees,8.5,4,4,2747,-0.31
The Wire,Alliances,8.6,4,5,2769,-0.14
The Wire,Margin of Error,8.8,4,6,2863,0.20
The Wire,Unto Others,8.6,4,7,2714,-0.14
The Wire,Corner Boys,8.6,4,8,2775,-0.14
The Wire,Know Your Place,8.6,4,9,2706,-0.14
The Wire,Misgivings,8.8,4,10,2893,0.20
The Wire,A New Day,9,4,11,3003,0.54
The Wire,That's Got His Own,9.3,4,12,3399,1.05
The Wire,Final Grades,9.5,4,13,4237,1.39
The Wire,More with Less,8.2,5,1,2780,-0.82
The Wire,Unconfirmed Reports,8.3,5,2,2668,-0.65
The Wire,Not for Attribution,8.6,5,3,2720,-0.14
The Wire,Transitions,8.9,5,4,2819,0.37
The Wire,React Quotes,8.7,5,5,2697,0.03
The Wire,The Dickensian Aspect,8.5,5,6,2617,-0.31
The Wire,Took,8.6,5,7,2673,-0.14
The Wire,Clarifications,8.9,5,8,2943,0.37
The Wire,Late Editions,9.3,5,9,3332,1.05
The Wire,-30-,9.6,5,10,4795,1.56
This is Us,Pilot,9.3,1,1,5778,1.05
This is Us,The Big Three,8.6,1,2,3317,-0.14
This is Us,Kyle,8.7,1,3,3101,0.03
This is Us,The Pool,8.9,1,4,3077,0.37
This is Us,The Game Plan,8.8,1,5,2960,0.20
This is Us,Career Days,8.6,1,6,2502,-0.14
This is Us,The Best Washing Machine in the Whole World,8.6,1,7,2408,-0.14
This is Us,Pilgrim Rick,9.2,1,8,2981,0.88
This is Us,The Trip,8.8,1,9,2595,0.20
This is Us,Last Christmas,9.1,1,10,2794,0.71
This is Us,The Right Thing to Do,8.5,1,11,2186,-0.31
This is Us,The Big Day,9,1,12,2748,0.54
This is Us,Three Sentences,8.8,1,13,2478,0.20
This is Us,I Call Marriage,8.4,1,14,2081,-0.48
This is Us,Jack Pearson's Son,9,1,15,2645,0.54
This is Us,Memphis,9.5,1,16,4383,1.39
This is Us,What Now?,9.1,1,17,2459,0.71
This is Us,Moonshadow,8.7,1,18,2267,0.03
This is Us,A Father's Advice,8.9,2,1,2386,0.37
This is Us,A Manny-Splendored Thing,8.5,2,2,1983,-0.31
This is Us,Déjà Vu,8.5,2,3,1929,-0.31
This is Us,Still There,8.3,2,4,1967,-0.65
This is Us,Brothers,8.4,2,5,2142,-0.48
