"selection1_name","selection1_url","selection1_Valoracion","selection1_Votos"
"Winter Is Coming","https://www.imdb.com/title/tt1480055/?ref_=ttep_ep1","9.1","(43,950)"
"The Kingsroad","https://www.imdb.com/title/tt1668746/?ref_=ttep_ep2","8.8","(33,479)"
"Lord Snow","https://www.imdb.com/title/tt1829962/?ref_=ttep_ep3","8.7","(31,729)"
"Cripples, Bastards, and Broken Things","https://www.imdb.com/title/tt1829963/?ref_=ttep_ep4","8.8","(30,173)"
"The Wolf and the Lion","https://www.imdb.com/title/tt1829964/?ref_=ttep_ep5","9.1","(31,362)"
"A Golden Crown","https://www.imdb.com/title/tt1837862/?ref_=ttep_ep6","9.2","(31,030)"
"You Win or You Die","https://www.imdb.com/title/tt1837863/?ref_=ttep_ep7","9.2","(31,550)"
"The Pointy End","https://www.imdb.com/title/tt1837864/?ref_=ttep_ep8","9.0","(29,523)"
"Baelor","https://www.imdb.com/title/tt1851398/?ref_=ttep_ep9","9.6","(41,147)"
"Fire and Blood","https://www.imdb.com/title/tt1851397/?ref_=ttep_ep10","9.5","(36,280)"
"The North Remembers","https://www.imdb.com/title/tt1971833/?ref_=ttep_ep1","8.8","(28,443)"
"The Night Lands","https://www.imdb.com/title/tt2069318/?ref_=ttep_ep2","8.5","(26,949)"
"What Is Dead May Never Die","https://www.imdb.com/title/tt2070135/?ref_=ttep_ep3","8.8","(26,627)"
"Garden of Bones","https://www.imdb.com/title/tt2069319/?ref_=ttep_ep4","8.8","(25,812)"
"The Ghost of Harrenhal","https://www.imdb.com/title/tt2074658/?ref_=ttep_ep5","8.8","(25,983)"
"The Old Gods and the New","https://www.imdb.com/title/tt2085238/?ref_=ttep_ep6","9.1","(27,109)"
"A Man Without Honor","https://www.imdb.com/title/tt2085239/?ref_=ttep_ep7","8.9","(26,399)"
"The Prince of Winterfell","https://www.imdb.com/title/tt2085240/?ref_=ttep_ep8","8.8","(26,122)"
"Blackwater","https://www.imdb.com/title/tt2084342/?ref_=ttep_ep9","9.7","(44,783)"
"Valar Morghulis","https://www.imdb.com/title/tt2112510/?ref_=ttep_ep10","9.4","(31,921)"
"Valar Dohaeris","https://www.imdb.com/title/tt2178782/?ref_=ttep_ep1","8.8","(28,204)"
