"Capitulo_name_name","Capitulo_name_Valoracion","Capitulo_name_Votos"
"Pilot: Part 1","9.2","(10,265)"
"Pilot: Part 2","9.1","(7,833)"
"Tabula Rasa","8.5","(6,189)"
"Walkabout","9.1","(6,987)"
"White Rabbit","8.4","(5,648)"
"House of the Rising Sun","8.2","(5,502)"
"The Moth","8.5","(5,534)"
"Confidence Man","8.7","(5,624)"
"Solitary","8.5","(5,292)"
"Raised by Another","8.7","(5,379)"
"All the Best Cowboys Have Daddy Issues","8.8","(5,413)"
"Whatever the Case May Be","8.0","(5,129)"
"Hearts and Minds","8.2","(5,097)"
"Special","8.2","(4,973)"
"Homecoming","8.4","(5,007)"
"Outlaws","8.6","(5,116)"
"...In Translation","8.5","(4,993)"
"Numbers","9.1","(5,745)"
"Deus Ex Machina","9.1","(5,636)"
"Do No Harm","8.9","(5,450)"
"The Greater Good","8.3","(4,803)"
"Born to Run","8.1","(4,865)"
"Exodus: Part 1","9.1","(5,698)"
"Exodus: Part 2 (Part I)","9.3","(6,359)"
"Exodus: Part 2 (Part II)","9.3","(3,101)"
"Man of Science, Man of Faith","9.1","(6,084)"
"Adrift","8.4","(4,712)"
"Orientation","8.7","(4,928)"
"Everybody Hates Hugo","8.3","(4,743)"
"...And Found","7.9","(4,580)"
"Abandoned","8.3","(4,569)"
"The Other 48 Days","8.8","(5,369)"
"Collision","8.7","(4,646)"
"What Kate Did","8.3","(4,574)"
"The 23rd Psalm","8.7","(4,817)"
"The Hunting Party","8.5","(4,489)"
"Fire + Water","7.3","(4,583)"
"The Long Con","8.7","(4,693)"
"One of Them","8.7","(4,522)"
"Maternity Leave","8.4","(4,513)"
"The Whole Truth","8.2","(4,333)"
"Lockdown","9.1","(5,003)"
"Dave","8.3","(4,677)"
"S.O.S.","7.9","(4,578)"
"Two for the Road","8.9","(5,057)"
"?","8.8","(4,794)"
"Three Minutes","8.5","(4,515)"
"Live Together, Die Alone","9.4","(7,074)"
"A Tale of Two Cities","8.7","(5,460)"
"The Glass Ballerina","8.1","(4,580)"
"Further Instructions","8.0","(4,520)"
"Every Man for Himself","8.4","(4,578)"
"The Cost of Living","8.2","(4,564)"
"I Do","8.6","(4,826)"
"Not in Portland","8.7","(4,817)"
"Flashes Before Your Eyes","9.1","(5,922)"
"Stranger in a Strange Land","7.2","(4,748)"
"Tricia Tanaka Is Dead","8.3","(4,867)"
"Enter 77","8.6","(4,711)"
"Par Avion","8.3","(4,536)"
"The Man from Tallahassee","9.1","(5,283)"
"Exposé","8.1","(5,509)"
"Left Behind","8.2","(4,451)"
"One of Us","8.7","(4,626)"
"Catch-22","8.5","(4,454)"
"D.O.C.","8.2","(4,418)"
"The Brig","9.1","(5,189)"
"The Man Behind the Curtain","9.2","(5,835)"
"Greatest Hits","9.2","(5,896)"
"Through the Looking Glass","9.7","(11,067)"
"The Beginning of the End","8.8","(5,895)"
"Confirmed Dead","8.7","(4,906)"
"The Economist","8.5","(4,595)"
"Eggtown","8.1","(4,474)"
"The Constant","9.7","(11,927)"
"The Other Woman","7.9","(4,364)"
"Ji Yeon","8.4","(4,475)"
"Meet Kevin Johnson","8.4","(4,454)"
"The Shape of Things to Come","9.0","(5,232)"
"Something Nice Back Home","8.0","(4,239)"
"Cabin Fever","8.7","(4,401)"
"There's No Place Like Home: Part 1","9.0","(4,828)"
"There's No Place Like Home: Part 2","9.3","(5,917)"
"There's No Place Like Home: Part 3","9.2","(3,817)"
"Because You Left","8.7","(5,153)"
"The Lie","8.3","(4,363)"
"Jughead","8.6","(4,440)"
"The Little Prince","8.3","(4,188)"
"This Place Is Death","8.7","(4,395)"
"316","8.6","(4,317)"
"The Life and Death of Jeremy Bentham","8.8","(4,755)"
"LaFleur","8.9","(4,948)"
"Namaste","8.5","(4,101)"
"He's Our You","8.5","(4,069)"
"Whatever Happened, Happened","8.3","(4,077)"
"Dead Is Dead","8.8","(4,345)"
"Some Like It Hoth","8.3","(3,809)"
"The Variable","8.8","(4,521)"
"Follow the Leader","8.7","(4,159)"
"The Incident: Part 1","9.2","(5,967)"
"The Incident: Part 2","9.2","(3,844)"
"LA X - Part 1","8.7","(5,047)"
"LA X - Part 2","8.5","(3,076)"
"What Kate Does","7.7","(4,305)"
"The Substitute","8.3","(3,994)"
"Lighthouse","8.1","(3,942)"
"Sundown","8.1","(3,852)"
"Dr. Linus","8.5","(4,010)"
"Recon","7.9","(3,938)"
"Ab Aeterno","9.2","(6,379)"
"The Package","7.9","(3,866)"
"Happily Ever After","8.8","(4,776)"
"Everybody Loves Hugo","8.5","(3,980)"
"The Last Recruit","8.2","(3,910)"
"The Candidate","8.9","(5,057)"
"Across the Sea","8.2","(5,178)"
"What They Died For","8.7","(4,598)"
"The End","8.2","(10,863)"
"The End Part 2","9.5","(179)"
